"EstacaoCodigo","Cota observada fora dos limites da curva-chave","Cota observada inferior à medida","Dias com vazão (n)","Erro na geração da vazão","Sobreposição de curvas","Variabilidade média do ramo inferior","Vazões anteriores ao início da curva-chave","Vazões geradas diferentes das disponibilizadas","Vazões posteriores ao final da curva-chave","Vazões sem cota","Vazões sem curva-chave","Falhas entre abril e setembto","Falhas nas cotas observadas","Falhas nas vazões observadas","Média de falhas no mês da Q7 anual","Valores fora do intervalo - área molhada","Valores fora do intervalo - cota medida","Valores fora do intervalo - vazão medida","Avaliação da curva-chave","Avaliação das séries"
"56005000",21.14,3.98,6454,0,0,0.02,0.23,0,0,0.03,0.05,67,0.63,9,0,0,9.68,0,4,4
"56010000",2.56,13.49,9772,0,0,0,0,0.34,0,0.02,0.15,56,0.32,9,31,0,3.45,6.9,5,3
"56012000",11.32,9.38,7854,0,0,0.03,0,0.01,0,0.01,4.14,29,0,7,0,0,0,0,3,3
"56028000",0.06,7.45,29493,0.04,4.82,0.13,0,0.12,0,0.04,0.09,0,0.09,1,0,1.3,3.9,1.3,3,4
"56040000",11.65,0,9406,100,0.01,NA,0,0,0,0.1,4.03,58,0.57,12,12.1,2.5,10,0,1,1
"56050000",0,0,10015,100,0,NA,0.1,0,0,0.01,0.01,67,0.37,6,31,5.41,2.7,0,1,4
"56055000",1.5,6.68,29373,6.65,0.11,0.08,0.01,2.12,0,0.04,1.54,0,0.06,1,0,0,3.49,0.44,4,5
"56065000",2.08,16.51,28338,1.73,2.63,0.19,0.07,0,0,0.03,2.06,0,0.55,1,1,0,2.31,0,4,3
"56075000",0.14,9.78,29373,5.53,4.97,0.04,0,0,0,0.04,0.17,50,0.34,2,0,1.61,3.63,4.44,3,5
"56085000",3.62,3.39,28397,0,2.07,0.07,0,0,0,0.03,3.1,0,0.12,1,7,0.95,2.37,0.47,3,5
"56090000",0.99,9.34,28397,6.34,4.69,0.15,0,0,0,0.04,0.83,100,0.21,1,8,0,1.84,0,4,4
"56105000",34.76,0,3653,90.91,0,NA,0,0,41.42,0,40.93,54,0.52,13,0,0,8.75,0,0,2
"56110000",0,1.83,14457,23.75,0,0.3,0,96.2,0,0.08,0.08,0,0.41,1,0,2.31,3.63,11.22,0,5
"56110005",2.72,5.76,16375,0,5.78,NA,0,0,2.78,0.07,2.67,0,0.09,0,0,3.64,3.64,8.18,4,5
"56130000",27.58,10,4171,15.26,0.07,0.06,0.6,90.39,0.62,0.07,0.07,50,0.56,2,0,0,10,2,0,3
"56145000",0.01,35.58,12998,14.96,0,0.03,0,89.86,0,0.02,0.02,100,0.52,1,0,1.82,49.09,1.82,0,1
"56148000",0.01,0,13696,100,0,NA,0.09,0,0,0.05,0.05,58,1.73,31,21.53,1.59,4.76,0.79,0,3
"56150000",43.71,0,5448,0,0,0,0,94,0,0.02,0.02,50,0.65,6,0,0,0,12.5,0,2
"56152000",42.45,5.23,5448,25.16,0,0.04,0.29,92.93,0,0.04,0.04,57,0.6,7,0,0,13.33,0,0,1
"56155000",37.64,12.54,5448,49.86,0,0,0,45.8,0,0.04,0.04,60,0.83,5,0,0,0,0,0,2
"56158000",50.94,0,2891,100,0,NA,0,0,0,0.07,0.1,56,2.01,9,0,0,9.09,0,0,3
"56160000",41.75,0,2526,100,0,NA,0,0,0,0.04,0.04,0,1.71,0,0,0,11.11,0,0,2
"56170000",13.43,0,5997,100,0,NA,0,0,0,0.05,0.05,67,0.74,3,0,0,33.33,0,0,3
"56182000",0.02,0,9681,100,0,NA,0,0,0,0.01,0.01,0,0.58,1,0,0,0,0,0,3
"56185000",0,0,3350,100,0,NA,0,0,0,0,0,53,4.75,43,31,0,0,9.09,0,3
"56195000",0,0,1734,100,0,NA,0,0,0,0.06,0.06,0,0.12,0,0,12.5,12.5,0,0,2
"56240000",1.85,5.74,32415,73.46,0,0.04,0,0,1.4,0.05,1.89,0,0.12,0,1.67,1.64,4.93,0.33,4,4
"56335000",0.3,0,12844,100,0,NA,0,0,0,0.05,0.05,0,0.24,0,0,1.71,8.57,1.14,0,4
"56335001",1.79,1.21,15949,100,8.02,NA,0,0,0,0.06,1.71,0,0.14,0,0,2.27,8.52,0,4,4
"56336001",0,0,1249,100,0,NA,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,2
"56337000",1.19,5.02,29493,28.69,3.25,0.17,0.01,0,0,0.04,1.17,33,1,3,21.33,1.76,0.35,0.7,4,4
"56340000",6.06,0,5693,100,0,NA,0,0,0,0.04,0.04,0,0.03,0,0,0,5.33,1.33,0,3
"56385000",7.64,4.89,19539,7.64,0,0.05,0,0,7.78,0.06,7.61,0,0.05,0,4,0.86,2.15,0.43,4,5
"56400000",0,14.06,10137,18.35,0,0.39,0.25,94.32,0,0.01,0.01,0,0.31,1,0,1.28,7.69,2.56,2,4
"56415000",3.95,2.21,32357,11.62,0,0.03,0,0,4.61,0.06,3.31,50,0.27,2,31.5,0.79,1.84,1.32,4,4
"56425000",0.39,5.89,13634,0,0,0.02,0,10.1,0.43,0.06,0.45,0,0.06,0,0,7.89,2.63,23.03,5,5
"56430000",21.61,0,3530,100,0,NA,0,0,0,0.08,0.08,0,0.71,0,7,7.69,3.08,38.46,0,5
"56458080",0.05,0,1827,62.44,0,0,0,0,0,0.11,0.11,53,17.56,47,25,180,20,0,5,1
"56460000",1.55,4.8,19509,0,6.59,0.06,0,0,0,0.05,1.29,56,1.13,16,19.51,1.02,3.57,0,4,5
"56470000",0.02,0,6058,100,0,NA,0,0,0.02,0.07,0.07,40,3.05,5,0,0,0,0,0,4
"56484998",0.39,4.51,15491,0,9.43,0.02,0,0,0,0.05,0.41,100,0.13,1,0,1.4,2.1,0,5,5
"56485000",0,1.31,15189,49,0,0.05,0.17,0,0,0.05,0.05,100,0.3,1,0,2.38,0.95,2.38,5,5
"56500000",2.55,4.98,28945,0,0.68,0.15,0,0.07,0,0.03,2.56,55,1.37,11,28.11,0.88,1.77,0,4,2
"56510000",3.15,8.57,13573,16.51,0,0.02,0,0,3.35,0.04,3.19,50,0.17,2,2,2.34,1.56,3.91,5,5
"56520000",5.13,3.42,24227,12.5,0,0.14,0,0.35,5.15,0.04,4.09,67,1.26,3,3,1.72,8.05,0,4,3
"56539000",2.2,9.68,16252,13.64,24.72,0.02,0,0,2.8,0.06,2.15,50,0.19,2,10,4.88,2.44,29.88,4,5
"56540001",0.28,0,1187,100,0,NA,1.68,0,10.28,0.17,0.17,32,2.72,25,2,0,0,47.62,0,2
"56565000",0.05,0,15250,100,0,NA,0,0,0,0.07,0.07,100,0.32,1,1,2.86,6.29,3.43,0,3
"56570000",6.48,5.14,16222,0,2.43,0.05,0,0,0,0.06,6.45,0,0.36,1,0,0,11.18,0,4,3
"56590000",32.97,0,2008,100,0,NA,0,0,0,0.2,0.2,0,1.15,0,1,0,4.26,0,0,2
"56610000",0.17,4.63,34058,0,4.29,0.12,0,0,0,0.05,0.21,100,0.31,1,14,1.96,7.84,1.96,4,4
"56631000",15.95,0,7305,100,0,NA,0,0,0,0.03,0.03,0,0.5,0,3,3.85,19.23,0,0,3
"56631500",41.31,0,3318,100,0,NA,0,0,0,0.03,0.03,57,1.35,7,0,0,0,0,0,4
"56631900",26.35,0.54,5540,0,0,0,0,0,26.37,0.04,26.37,0,0,0,0,0,2.22,0,4,5
"56632000",35.65,2.76,6605,0,0,0,0,0,0,0.02,0.02,0,0.2,0,1,2.86,14.29,0,4,4
"56633000",46.61,0,2953,100,0,NA,0,0,0,0.07,0.07,67,1.39,6,0,0,10,0,0,4
"56635000",0.04,0,2376,100,0,NA,0,0,0,0.17,0.17,67,2.05,15,16,0,0,0,0,1
"56640000",2.64,2.95,23619,0,4.57,0.09,0,0,0,0.05,1.98,50,0.71,2,15,1.45,3.64,1.09,4,4
"56659998",0.23,7.18,10926,0,13.37,0.01,0,0,0,0.06,0.27,0,0.12,0,0,4.84,7.26,0,4,5
"56659999",0,0,1949,100,0,NA,0,0,0,0.1,0.1,75,3.39,8,12,0,0,3.03,0,5
"56660000",11.65,0,12784,100,0,NA,0,0,0,0.12,0.13,0,2.01,0,0,1.33,1.11,5.56,0,5
"56665000",0.86,0,5235,100,0,NA,0,0,0,0.11,0.11,75,3.38,16,22.33,0,80.36,1.79,0,1
"56667000",0.13,0,7580,100,0,NA,0,0,0,0.11,0.11,57,4.17,44,31,5.22,10.45,8.96,0,1
"56670000",0,0,9011,100,0,NA,0,0,0,0.12,0.12,0,0.73,0,0,0.41,45.08,1.23,0,3
"56681000",0.28,0,9282,100,0,NA,0,0,0,0.03,0.03,64,0.8,14,23.8,6.15,4.62,10.77,0,4
"56685000",2.91,0,1036,100,0,NA,0,0,0,0.19,0.19,0,0,0,0,0,0,0,0,1
"56690000",0,0,4505,100,0,NA,0,0,0,0.11,0.11,0,1.33,0,0,3.03,36.87,7.58,0,1
"56695000",0,1.76,3865,0,0.26,0.04,0.23,0,0,0.16,0.16,50,1.63,4,0,0,8.24,18.82,5,5
"56696000",0.5,8.89,11749,0,18.14,0.11,0,0.41,0,0.04,0.45,0,0.45,1,20,3,5,9,4,5
"56700000",81.71,0,1523,100,0,NA,0,0,0,0.13,0.13,0,0.41,0,0,0,8.33,11.11,0,3
"56719998",0.78,2.65,11839,0,12.34,0.03,0,0,0,0.03,0.73,67,0.21,3,0,23.53,1.68,23.53,3,5
"56720000",7.17,0,17228,100,0,NA,0.15,0,0.08,0.04,0.93,56,0.53,9,19,5.63,1.88,42.72,0,3
"56750000",2.73,5.01,26997,0,2.88,0.08,0.09,0,0,0.03,2.69,0,0.3,0,0,0.84,10.08,1.68,4,4
"56765000",2.07,1.2,26694,7.47,0,0.01,0,0,1.25,0.04,2.11,0,0.2,0,27,0.83,3.32,1.24,4,5
"56775000",5.15,2.1,28670,0,0,0.12,0.04,0,5.3,0.05,5.18,67,0.56,6,15.24,2.26,9.43,5.66,4,5
"56780000",18.44,0,3318,100,0,NA,0.39,0,0,0.06,0.06,41,2.25,29,15,50,0,0,0,1
"56780001",0,0,853,100,0,NA,0,0,0,0.23,0.23,100,3.4,3,29,0,0,0,0,3
"56780005",11.68,0,1095,100,0,NA,0,0,0,0,0,50,4.48,10,0,0,15.38,0,0,1
"56787000",7.35,2.22,19450,0,0,0.09,0,0,7.51,0.05,6.93,0,0.27,1,7.42,2.22,5.33,0.44,4,5
"56800000",5.54,4.36,26936,0,0,0.08,0,0,5.64,0.04,5.03,0,0.08,1,12.73,0.43,4.33,0.43,4,5
"56815000",0,0,4139,100,0,NA,0,0,0,0.05,0.05,58,4.55,53,26.71,3.12,12.5,6.25,0,1
"56825000",0.53,1.82,16222,0.22,9.01,0.14,0.11,0,0,0.05,0.54,0,0.05,0,0,11.48,2.19,14.75,4,4
"56845000",1,6.15,24197,0,3.86,0.03,0,0,0,0.04,0.99,50,0.25,4,35.17,0.45,4.48,0,5,5
"56846000",2.96,3.4,15887,0,6.75,0.04,0,0.01,0,0.05,2.91,50,3.44,2,31,1.27,1.27,2.55,4,5
"56846890",81.05,0,2040,2.58,25.98,0,75.54,0,0,0.1,54.02,56,3.73,27,12.33,0,10.53,5.26,4,4
"56846900",0,5.92,6300,0,0,0.01,0,0,0,0.03,0.03,60,4.67,43,25.19,3.57,3.57,0,5,3
"56847000",0.78,0,1887,100,0,NA,0,0,0,0.11,0.11,67,6.13,24,0,0,2.7,0,0,4
"56850000",1.26,7.16,29644,0,2.57,0.02,0,0.01,1.43,0.02,1.25,58,2.71,31,30.15,49.72,0.56,36.31,4,5
"56851000",0.36,8.16,29371,0.1,1.12,0.2,0,0.55,0,0.68,0.85,50,2.48,6,10.15,0,3.03,0,3,3
"56860000",7.48,3.69,19539,0,0,0.03,0.12,0,7.78,0.05,7.51,0,0.05,0,8.67,2.58,1.03,2.06,4,5
"56870000",7.46,3.56,19539,0,0,0.03,0,0,7.78,0.05,7.5,0,0.32,0,9.17,0,3.19,0,4,5
"56880000",0,0,8431,100,0,NA,0.18,0,0,0.11,0.11,60,0.84,5,0,0,2.47,0,0,3
"56891900",1.61,7.54,16161,2.23,9.04,0.05,0,0,0,0.04,1.22,0,0.04,0,0,2.63,2.11,11.58,4,5
"56892000",0,0,13514,100,0,NA,0,0,0,0.02,0.02,0,0,0,0,31.88,0,13.04,0,4
"56915500",12.44,0.49,13453,75.66,0,0.04,0.19,5.56,9.49,0.19,8.63,80,0.06,5,11,2.36,1.57,0,4,4
"56920000",2.13,4.45,17044,0,7.83,0.02,0,0,2.67,0.04,2.09,0,0.07,1,0,52.57,2.29,48,4,4
"56923800",2.75,14.62,3106,3.39,36.67,0.53,0.61,11.46,0,0.03,1.55,50,0.44,2,7,0,0,0,3,3
"56924100",37.86,8.04,2312,0,0,0.08,0,0,3.89,0,0,25,0.63,4,11.67,0,21.62,0,4,4
"56924500",19.62,9.23,5233,1.95,6.97,0.11,0,4.24,15.08,0.04,18.56,75,2.26,4,0,0,9.8,0,2,4
"56925000",0,0,10107,100,0,NA,0,0,0,0.08,0.08,0,0.1,0,0,0,4.58,0,0,3
"56928000",22.71,4.22,4810,0,15.51,0.05,0,0,0,0.02,2.04,61,0.04,18,9.5,0,8.57,0,4,4
"56935000",0.48,4.41,19539,0,7.48,0.12,0.15,1.25,0,0.05,0.36,67,1.68,6,19.33,0.43,13.04,0.43,3,5
"56940000",0,0,13636,100,0,NA,0,0,0,0.06,0.06,56,1.91,32,31,6.8,4.76,4.08,0,4
"56940002",2.65,3.36,15826,0,7.06,0.05,0,0,0,0.03,2.48,0,0.06,1,31,2.55,0.64,2.55,4,5
"56941000",74.43,0,2922,100,0,NA,0,0,0,0.1,0.1,0,0.93,1,0,77.42,0,54.84,0,4
"56943000",0,0,7976,100,0,NA,0,0,0,0.06,0.06,0,2.42,2,15,0.64,29.94,0.64,0,1
"56948000",10.8,0.57,16436,0,0,0.01,0.03,0,0,0.07,0.07,100,1.06,1,0,46.54,1.84,44.24,5,5
"56948005",36.41,0,7519,74.19,99.73,0,0.68,0,0,0.35,1.02,33,1.76,3,0,24.56,0,42.11,4,5
"56960000",0.01,2.25,17441,3.45,0,0.14,0,0,0,0.1,0.1,67,0.82,9,22,1.16,3.19,1.74,5,3
"56960005",3.23,6.91,13057,0,8.26,0.08,0,0,0,0.05,2.82,0,0.26,1,2,0,4.07,0,3,4
"56960080",1.67,4.14,821,0,0,0,0,0,0,0.12,0.12,20,13.18,10,8,150,33.33,0,5,1
"56963000",5.37,0,2801,100,0,NA,0,0,0,0.11,0.11,0,1.07,0,0,0,21.43,0,0,3
"56967000",0,0,8980,100,0,NA,0,0,0,0.06,0.06,0,0.32,0,0,2.11,3.16,5.26,0,5
"56972080",2.91,9.8,1827,0,0,0,0,0,0,0.11,0.11,56,18.97,45,14,225,50,25,5,1
"56974000",0,0,10107,100,0,NA,0,0,0,0.04,0.04,0,0.18,0,0,0,4.11,0,0,4
"56976000",2.84,10.92,16954,0,6.35,0.02,0.16,0,0,0.05,2.63,0,0.28,1,9,1.57,6.28,4.19,4,4
"56978000",7.64,4.42,19539,0,0,0.04,0,0,7.78,0.05,7.67,0,0.19,0,0,2.12,2.12,1.27,4,5
"56982000",43.9,0,5601,100,0,NA,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,4
"56983000",5.07,3.74,29432,0,0,0.1,0,0,5.16,0.03,4.53,50,0.23,4,13.5,0.42,9.28,0.42,4,5
"56985000",0,0,6818,100,0,NA,0,0,0,0.01,0.01,57,1.41,21,31,0,11.76,0,0,2
"56986000",0.43,0,9742,100,0,NA,0,0,0,0.07,0.12,57,0.48,7,28.33,0,17.46,1.59,0,2
"56988000",0,0,6728,100,0,NA,0,0,0,0.06,0.06,71,0.64,7,0,2.17,6.52,0,0,2
"56988500",1.64,2.98,29100,0,3.3,0.16,0,0.01,0,0.13,1.12,0,0.37,1,6.33,1.04,6.48,1.55,4,5
"56989000",0,0,10380,100,0,NA,0,0,0,0.02,0.02,0,0.05,0,0,7.32,0,0,0,3
"56989001",1.22,3.06,16617,0,7.73,0.06,0,0,0,0.04,1.16,0,0.09,0,0,0,5.3,0,4,5
"56989400",0.77,8.72,15613,0,9.1,0.01,0,0,0,0.04,0.77,0,0.05,1,0,0.72,1.45,2.17,5,5
"56989900",15.99,0.08,1218,0,50.9,0,4.76,5.09,0,0,3.94,50,1.09,8,28,0,0,0,5,5
"56990000",5.08,3.76,29371,0,0,NA,0,0,5.18,0.04,5.12,0,0.04,1,11,2.85,0,9.25,4,4
"56990500",0,0,6515,100,0,NA,0,0,0,0.05,0.05,0,0.61,1,0,0,6.06,0,0,2
"56990990",5.06,5.07,14975,0,6.24,0.07,0,0,0,0.04,4.84,50,0.26,2,0,0,6.67,0,4,4
"56991000",0.02,0,4079,100,0,NA,0,0,0,0.07,0.1,58,1.12,24,31,24.44,2.22,2.22,0,3
"56991500",7.93,3.03,18840,0,0,0.08,0.12,0,8.07,0.06,7.98,0,0.15,0,0,0.97,3.38,0,4,5
"56992000",0.3,6.74,29644,0,1.52,0.34,0,0.4,0,0.09,0.19,60,0.5,5,16.83,21.48,3.36,3.52,5,4
"56992500",0,0,4993,100,0,NA,0.32,0,0,0.02,0.02,90,2.32,10,3,0,0,0,0,3
"56661000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,0,0,NA,NA,NA,0,2
"56989500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0.26,4,0,1.12,3.37,0,0,4
